Year,Adjusted sea level (inches)
1880,0.000
1881,0.220
1882,-0.441
1883,-0.232
1884,0.591
1885,0.531
1886,0.437
1887,0.217
1888,0.299
1889,0.362
1890,0.441
1891,0.374
1892,0.500
1893,0.685
1894,0.303
1895,0.768
1896,0.469
1897,0.673
1898,1.043
1899,1.339
1900,1.126
1901,1.110
1902,1.291
1903,1.606
1904,1.201
1905,0.984
1906,1.252
1907,1.197
1908,1.098
1909,1.276
1910,1.272
1911,1.598
1912,1.476
1913,1.547
1914,1.795
1915,2.106
1916,2.031
1917,1.854
1918,1.791
1919,1.854
1920,1.906
1921,1.988
1922,1.953
1923,2.000
1924,1.713
1925,1.791
1926,2.047
1927,2.004
1928,1.850
1929,1.906
1930,2.063
1931,2.047
1932,2.272
1933,2.441
1934,2.228
1935,2.449
1936,2.295
1937,2.520
1938,2.622
1939,2.827
1940,2.618
1941,3.098
1942,3.098
1943,3.098
1944,2.846
1945,2.957
1946,3.252
1947,3.374
1948,3.563
1949,3.512
1950,3.598
1951,3.972
1952,3.870
1953,4.043
1954,3.929
1955,3.965
1956,3.764
1957,4.291
1958,4.346
1959,4.358
1960,4.504
1961,4.748
1962,4.543
1963,4.480
1964,4.169
1965,4.610
1966,4.398
1967,4.453
1968,4.484
1969,4.752
1970,4.677
1971,4.882
1972,5.240
1973,5.004
1974,5.472
1975,5.409
1976,5.370
1977,5.303
1978,5.555
1979,5.362
1980,5.598
1981,6.087
1982,5.858
1983,6.189
1984,6.154
1985,5.748
1986,5.772
1987,5.795
1988,5.980
1989,6.157
1990,6.248
1991,6.346
1992,6.374
1993,6.303
1994,6.508
1995,6.622
1996,6.783
1997,7.059
1998,6.669
1999,7.004
2000,7.055
2001,7.272
2002,7.366
2003,7.728
2004,7.713
2005,7.717
2006,7.886
2007,7.961
2008,8.303
2009,8.531
2010,8.835
2011,8.898
2012,9.244
2013,8.913
2014,8.579
2015,8.925
2016,9.036
2017,9.088
2018,9.221
2019,9.479
